content,spam,,
omg!! rainbow bright!!! omg!! i haven watched that since i was five years old!!! oh my god... blast to the past.\ufeff,,,
Mac and Me is one of my favorite movies.\ufeff,,,
I'm surprised the emoji movie didn't get on this list\ufeff,,,
I don't think I should be scared of these movies...... But I am.\ufeff,,,
1000th comment\ufeff,,,
"1,000th comment xddd\nkms\ufeff",,,
No I am!!  It says 999 for me\ufeff,,,
fred has 0% rotten tomatoes\ufeff,,,
link your jokes tho... that was not right.\ufeff,,,
"spring, it' spring!! this horse is high xD\ufeff",,,
It's so nice to see 2 guys not afraid to show how much they care about each other. I hope they have a big male fan base.\ufeff,,,
"My husband does a similar thing on his channel where he takes bad movies and tries to pick out the good things, so I understand how hard this must've been for you guys! His channel is called Screaming Shark if anyone wants to check it out \ud83d\ude04\ufeff",,,
Rainbow Brite is FANTASTIC\ufeff,,,
These innuendos are hilarious\ufeff,,,
I Loved The Movie Mac and Me .. It Kept Me and My Grandbabies entertained for Hours ;)\ufeff,,,
"Empire of the Ants is pure corny, stupid goodness. It is so bad it's good.\ufeff",,,
"the rainbow brite movie wasn't that bad.\n\nit is a movie for lil kids, but it wasn't terrible.\ufeff",,,
Why is link wearing a girls shirt??!!\ufeff,,,
"Never heard of The Lonely Lady, so can't say anything about that one.\nAs for Staying Alive... I didn't watch it, but I remember hearing alot of people liked it.\ufeff",,,
Empire of the ants was a great movie for it's time.\nI don't get how some of these get 0%\ufeff,,,
How did Rainbow Brite get 0%\nRainbow Brite was Awesome!\ufeff,,,
Donnie Rogers? Oh please let him open a chain of chicken restaurants!  Kenny's Roasters FTW!\ufeff,,,
3:35 this is a family show folks. \n\nThanks Neal I wasn't planning on sleeping or eating.\ufeff,,,
link looks like a stay at home mom :)\ufeff,,,
\ud83e\udd23\ud83e\udd23\ud83e\udd23\ud83d\udc4f\ud83c\udffc\ufeff,,,
OMFGGGGGGG IM AM SOOOOO FFFFFFKNG EXCITED U INCLUDED STAYING ALIVE THIS IS LITERALLY MY ALL TIME FAV MOVIE!!!!! LMAOOOO I KNOW EVERY SONG AND ACTUALLY OWN IT ON DVD LOLLLL\ufeff,,,
"\Even little things need a helping hand.\""\ufeff""",,,
sorry dumb wittle \u00a0dudes\ufeff,,,
"\I think I just found the new soundtrack to me and my wife's lovemaking!\"" LINK"," ""19 hours ago"""," ""Kerkor"""," ""Ugxa-uB49mShgnTXdaR4AaABAg""}"
Link got O W N E D\ufeff,,,
Link looks like Rachel Maddow nowa days lol\ufeff,,,
link wearing his wife's sweater?\ufeff,,,
is link wearing a womans sweater\ufeff,,,
rainbow shite\ufeff,,,
Ayyy yo y'all need to chill\ufeff,,,
"Y'all forgot about the whitewashed dbz movie, DragonBall Evolution\ufeff",,,
Links sweater \ud83d\ude02\ufeff,,,
\u201cEven little things need a helping wing\u201d what a roast\ufeff,,,
i just got your book and i love it! you guys are really the best! i really love you.\ufeff,,,
At 5:29 my boy link busted like three kinds of nuts there.\ufeff,,,
